,PEMEL_Max,PEMEL_Min,PEMEL_Mean,Siemens_1bar,Siemens_100bar,Siemens _50bar,Proton,Proton_Advanced,Giner_70bar_58C,Giner_7bar_42C,Giner_7bar_58C,Giner_70 bar_42C,CETH2,Helion_50C,Helion_60C,Helion_70C,Helion_70C_15bar,Giner,Hydrogenics,Proton,ITM_ELECTROHYPEM,AREVA,Siemens,Labor_dÅnne_Membran_80,Labor_dÅnne_Membran_50,AEL_Max,AEL_Min,AEL_Mean,Elwatec_FZ_JÅlich,DLR,FZ_JÅlic_ HPEL,Lurgi,GHW,Metkon_Alyzer_50,Metkon_Alyzer_60,Metkon_Alyzer_Hysolar_80,GHW,Stuart_Energy,FZ_JÅlich_Phoebus_80,FZ_JÅlich_Phoebus_50,Casale_Chemicals,Wasserelektrolyse_Hydrotechnik,RESelyzer,Hydrogenics,GHW
,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL
0.08,93.0510666,66.84005128,77.70802417,66.84005128,71.0275235,66.57662366,75.59888679,82.50796749,77.52025015,78.00620407,79.5575693,75.78368475,80.22014087,76.16332241,78.33213038,79.62173168,80.41826629,81.18500924,93.0510666,73.69631973,79.63312868,78.86296627,80.448997,81.78981117,66.02122958,89.90169693,72.36942965,80.71771831,81.5232533,83.68279964,85.93781526,84.17898366,82.26428814,70.75614851,74.17201075,76.34306973,82.69219093,79.83560688,85.30234415,78.59235934,78.20454941,72.36942965,83.27751692,89.90169693,83.16714802
0.09,92.54433654,65.89762776,77.16525702,65.89762776,70.27093012,65.61958684,75.06365979,82.0696903,77.05108606,77.42880063,79.05081784,75.31865393,79.86306803,75.59643022,77.73599793,79.06476182,80.05710814,80.96004076,92.54433654,73.50177072,79.29679424,78.49907664,79.67799531,81.37893361,64.88454905,89.40115657,71.80091159,80.23823332,81.12871866,83.38374746,85.7329604,84.03930536,81.83182955,70.18976249,73.54689335,75.70120893,82.1973128,79.18344231,84.66187203,77.95861896,77.58442712,71.80091159,83.06877176,89.40115657,82.63902706
0.1,92.01773963,65.07981986,76.64733514,65.07981986,69.53770776,64.76561541,74.69467629,81.70248328,76.58388557,76.90350213,78.57285563,74.85894334,79.60672648,75.09333749,77.2045352,78.53941357,79.65058082,80.73519539,92.01773963,73.297702,78.99270732,78.14099382,78.56601355,80.9831564,63.7665555,88.982297,71.23724106,79.8065171,80.74585855,83.09075394,85.52487151,83.89959481,81.39849511,69.68739043,72.93685541,75.1360526,81.70139227,78.78316978,84.12891795,77.48620566,77.00231267,71.23724106,82.85743516,88.982297,82.11194679
0.11,91.53622149,64.28149398,76.14354478,64.28149398,68.86582156,63.97972294,74.14650592,81.39674888,76.12013023,76.42357557,78.12104783,74.40448628,79.40200252,74.64604302,76.7311161,78.05204228,79.22774838,80.51105637,91.53622149,73.08468905,78.71718613,77.78967992,77.22309738,80.60252616,62.73334167,88.6331042,70.68196406,79.41040106,80.37870069,82.80522787,85.31393067,83.75985443,80.96566729,69.23758166,72.35294575,74.63043557,81.20796699,78.55507461,83.65722818,77.0895469,76.475934,70.68196406,82.6437632,88.6331042,81.58789202
0.12,91.09278396,63.51856406,75.66949637,63.51856406,68.2795408,63.24957865,73.73372845,81.11901938,75.66130674,75.98218782,77.69318015,73.95557092,79.19825655,74.24372562,76.30561353,77.60793288,78.82091516,80.28820695,91.09278396,72.86330737,78.46654889,77.44609704,75.75929244,80.23708954,61.81851373,88.34156412,70.13862658,79.03779347,80.02872542,82.52857801,85.10051998,83.62008661,80.53472855,68.83065765,71.80360427,74.16719274,80.72057459,78.41944209,83.2086359,76.69777624,76.00491677,70.13862658,82.42801198,88.34156412,81.06884755
0.13,90.68471184,62.84595881,75.21493931,62.84595881,67.73729381,62.50153126,73.30670779,80.83854323,75.20890177,75.57250576,77.28703827,73.5124854,78.94484894,73.87556407,75.91790034,77.20448727,78.4462031,80.06723038,90.68471184,72.63413244,78.23711383,77.11120731,74.2846444,79.88689316,61.0096098,88.09566274,69.61077465,78.68133671,79.69496521,82.26221315,84.88502154,83.48029375,80.10706137,68.45702599,71.29052924,73.73193413,80.24275273,78.29655845,82.77915167,76.30748811,75.5740556,69.61077465,82.21043756,88.09566274,80.55679822
0.14,90.31454018,62.11080552,74.77835073,62.11080552,67.21483514,61.83088329,72.89899768,80.55577702,74.76440198,75.18769625,76.90040787,73.0755179,78.60682489,73.53073718,75.55784943,76.83558513,78.09672254,79.84870992,90.31454018,72.39773975,78.02519916,76.78575552,72.90746786,79.55193412,60.29066698,87.88338601,69.10195427,78.33722041,79.37635361,82.00754146,84.66781744,83.34047826,79.68404821,68.10903482,70.81434445,73.32032403,79.77801796,78.12352704,82.37377386,75.9344344,75.17268625,69.10195427,81.99129604,87.88338601,80.05372882
0.15,89.9983942,61.4438909,74.3616943,61.4438909,66.6671203,61.17811091,72.4731499,80.28500529,74.32929407,74.82092615,76.53107465,72.64495655,78.21056747,73.19842374,75.21533365,76.49508975,77.76382803,79.63322882,89.9983942,72.15470478,77.82712312,76.46958081,71.68337156,79.23167114,59.64572236,87.6927199,68.61571145,78.00549836,79.07182415,81.7655117,84.44928976,83.20064254,79.26707153,67.78095077,70.37567372,72.93030295,79.32953444,77.89720884,81.99576979,75.590636,74.79815687,68.61571145,81.77084348,87.6927199,79.56162416
0.16,89.75804736,60.79565218,73.96775546,60.79565218,66.13290504,60.53694708,72.09584535,80.04031128,73.90506471,74.46536236,76.1768243,72.22108953,77.79745168,72.86806674,74.88022709,76.17686442,77.43887413,79.42137033,89.75804736,71.90560303,77.6392039,76.16228646,70.60691262,78.92523259,59.05881304,87.51165038,68.15559219,77.68565221,78.78031036,81.53579677,84.22982062,83.06078898,78.85751382,67.46712832,69.97514086,72.55981395,78.9001747,77.6277321,81.64182162,75.27268803,74.44830987,68.15559219,81.54933599,87.51165038,79.08246907
0.17,89.5726068,60.18624757,73.59820238,60.18624757,65.6691994,59.93244038,71.75067064,79.82298208,73.49318014,74.11417172,75.83544251,71.80420498,77.40885252,72.53519566,74.54492275,75.87477244,77.11329499,79.2137177,89.5726068,71.65100998,77.45775975,75.86347575,69.66923662,78.63174207,58.51397612,87.32816342,67.72482519,77.37688987,78.50074578,81.31784987,84.00979209,82.92091998,78.45675753,67.1636951,69.61336848,72.20748165,78.49264494,77.32522504,81.30704589,74.97320093,74.12013393,67.72482519,81.32702963,87.32816342,78.61824834
